TAZ12,Lon,Lat,i,value,year,dailyCapacity,hourlyCapacity,cost
"5517",-117.166368413146,33.7191299192946,"1","1","2025","500","324",1262491
"5523",-117.405570245519,33.5757245908217,"1","1","2025","500","324",1262491
"5579",-117.250061808725,33.8029495454304,"1","1","2025","500","324",1262491
"5594",-117.229800384144,33.9434959165952,"2","1","2025","750","324",1649413
"5600",-115.604774591728,33.2376659836729,"1","1","2025","500","324",1262491
"5601",-115.414596307799,32.9907854099583,"4","1","2025","1500","324",2509117.08
"5614",-114.998545332192,33.0746190033165,"4","1","2025","1500","324",2509117.08
"5615",-115.87060216784,33.1596630043049,"1","1","2025","500","324",1262491
"5624",-117.091200707386,33.9730684088259,"1","1","2025","500","324",1262491
"5636",-116.764300994005,33.6302219056992,"2","1","2025","750","324",1649413
"5665",-116.152827890945,33.5265770951924,"1","1","2025","500","324",1262491
"5668",-115.582296891338,33.8812406589577,"1","1","2025","500","324",1262491
"5668",-115.582296891338,33.8812406589577,"4","1","2025","1500","324",2509117.08
"5675",-116.338604792653,33.7955264133332,"1","1","2025","500","324",1262491
"5681",-114.738447232203,33.8118437542552,"1","1","2025","500","324",1262491
"5786",-117.812476652612,33.9225923339992,"3","1","2025","1000","324",1896504
"5805",-117.98977211796,33.7409210603358,"3","1","2025","1000","324",1896504
"5900",-117.783272033275,33.6034891603085,"1","1","2025","500","324",1262491
"5930",-117.686700929889,33.7124514217106,"2","1","2025","750","324",1649413
"6010",-117.666309759839,33.506807320275,"5","1","2025","3000","540",4397993.4
"6099",-116.335421019885,33.5106594151111,"1","1","2025","500","324",1262491
"6100",-116.290432218708,33.1160252774371,"1","1","2025","500","324",1262491
"6101",-116.438925962994,32.7034492318799,"1","1","2025","500","324",1262491
"6102",-116.704173911736,33.2411454996252,"4","1","2025","1500","324",2509117.08
"6102",-116.704173911736,33.2411454996252,"1","1","2025","500","324",1262491
"6136",-116.900866675007,32.7236685351833,"2","1","2025","750","324",1649413
"6201",-117.353555216783,33.458524117357,"3","1","2025","1000","324",1896504
"6264",-117.255227004675,33.1862084407157,"1","1","2025","500","324",1262491
"6390",-117.192303093249,33.0331613611319,"2","1","2025","750","324",1649413
"6518",-117.036648189057,32.7733154243274,"3","1","2025","1000","324",1896504
"6561",-116.972416936302,32.7148468668414,"4","1","2025","1500","324",2509117.08
"6836",-115.92625092292,32.815208160556,"1","1","2025","500","324",1262491
"109",-123.755197379477,41.1541477436378,"5","1","2030","3000","540",4397993.4
"116",-124.056933434818,40.4424556590573,"1","1","2030","500","324",1262491
"122",-120.592987698823,40.8639250224093,"1","1","2030","500","324",1262491
"129",-121.098611154994,41.596157910438,"4","1","2030","1500","324",2509117.08
"130",-120.50537088862,41.5761323329595,"1","1","2030","500","324",1262491
"156",-122.359142806701,40.9950928788783,"10","1","2030","20000","2160",16258879
"157",-121.997793569239,40.8695228215215,"1","1","2030","500","324",1262491
"158",-121.513203795865,40.6729642834579,"1","1","2030","500","324",1262491
"161",-122.041755606452,41.7974598413151,"1","1","2030","500","324",1262491
"162",-122.475503414042,41.8891099632226,"7","1","2030","7500","648",7781636
"163",-123.335680907067,41.7447460048882,"1","1","2030","500","324",1262491
"164",-123.020229747748,41.4013733776321,"1","1","2030","500","324",1262491
"166",-122.435598978743,41.4823758663718,"1","1","2030","500","324",1262491
"169",-121.813996666238,41.4130876781861,"5","1","2030","3000","540",4397993.4
"170",-122.778672438376,40.9218877079846,"1","1","2030","500","324",1262491
"171",-123.26194366533,40.8849612994346,"1","1","2030","500","324",1262491
"172",-123.242836035237,40.4876323079403,"1","1","2030","500","324",1262491
"219",-121.332130179713,39.6408160566063,"1","1","2030","500","324",1262491
"226",-121.777392301415,39.4185001197963,"1","1","2030","500","324",1262491
"227",-122.01186113245,39.0017575662403,"1","1","2030","500","324",1262491
"228",-122.357841300107,39.2190973272834,"1","1","2030","500","324",1262491
"235",-122.046855323628,39.6714882878186,"4","1","2030","1500","324",2509117.08
"242",-122.516642598164,38.8210081514369,"1","1","2030","500","324",1262491
"244",-122.863790704433,39.2897206648043,"1","1","2030","500","324",1262491
"246",-123.214005860486,39.7678225150764,"1","1","2030","500","324",1262491
"247",-123.696780822889,39.7797722225828,"1","1","2030","500","324",1262491
"248",-123.638358068746,39.4549754829463,"1","1","2030","500","324",1262491
"251",-123.31842823481,39.358752302385,"1","1","2030","500","324",1262491
"256",-123.528879752079,39.1619536853695,"1","1","2030","500","324",1262491
"257",-123.511530514922,38.9071458741385,"1","1","2030","500","324",1262491
"258",-123.198119488288,38.9628393576288,"1","1","2030","500","324",1262491
"273",-121.003790813055,39.8816399405759,"1","1","2030","500","324",1262491
"276",-121.235650122588,40.2722854949641,"1","1","2030","500","324",1262491
"277",-120.516014343013,39.580688669977,"9","1","2030","15000","1080",12624651
"278",-121.808539266908,40.1955332495693,"4","1","2030","1500","324",2509117.08
"280",-122.330292053655,40.2721818766048,"1","1","2030","500","324",1262491
"308",-121.621730964904,38.8940215276172,"7","1","2030","7500","648",7781636
"309",-121.800555761586,39.1532217658689,"1","1","2030","500","324",1262491
